,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
0,1999_01_ARI_PHI,ARI,PHI,1999,1.0,1.0,-1.0,-9.937186181780705,-14.032166862417412,4.0949806806367075,-4.0949806806367075,-10.007435448218592,-5.450137580699774,-4.557297867518818,-41.30568505481377,-8.819695864099707,-32.485989190714065
1,1999_02_ARI_MIA,ARI,MIA,1999,2.0,-3.0,3.0,-17.235443294996916,-16.264907064079132,-0.9705362309177836,0.9705362309177836,-3.3766710543707967,-11.173714011157212,7.797042956786416,-4.565813052683607,-8.347499181593031,3.781686128909424
2,1999_03_SF_ARI,ARI,SF,1999,3.0,-14.0,14.0,-10.041762163967183,8.849967132416152,-18.891729296383335,18.891729296383335,-1.772641537452078,4.613991350630897,-6.386632888082975,-4.594270537372292,-8.335669635424214,3.7413990980519216
3,1999_04_ARI_DAL,ARI,DAL,1999,4.0,-28.0,28.0,-28.396750358620018,0.6416912582653582,-29.038441616885375,29.038441616885375,-23.927802362031244,-2.4770757231121423,-21.4507266389191,-2.667020875949188,-19.82274424276965,17.155723366820464
4,1999_05_NYG_ARI,ARI,NYG,1999,5.0,11.0,-11.0,-7.605509777704365,-17.480694445461268,9.875184667756901,-9.875184667756901,-24.203429570988476,-15.288536750660121,-8.914892820328355,-17.658983882464355,-1.1700883500808719,-16.488895532383484
5,1999_06_WAS_ARI,ARI,WAS,1999,6.0,-14.0,14.0,-9.311307197686807,7.008812738705258,-16.320119936392064,16.320119936392064,-1.960293533650012,4.154715403805974,-6.115008937455986,19.257272079583537,-5.218459577211269,24.475731656794807
6,1999_08_NE_ARI,ARI,NE,1999,7.0,-24.0,24.0,-20.155474207305815,6.958319314453526,-27.11379352175934,27.11379352175934,-41.367210385939686,-8.76419432552692,-32.60301606041276,-17.775756017992702,-15.177008750507884,-2.5987472674848178
7,1999_09_ARI_NYJ,ARI,NYJ,1999,8.0,-5.0,5.0,-14.996849147431027,-7.187691620929282,-7.809157526501744,7.809157526501744,-10.766732844482396,-12.745203142630743,1.9784702981483466,-11.417752798563134,-15.846695571343497,4.428942772780363
8,1999_10_DET_ARI,ARI,DET,1999,9.0,4.0,-4.0,-3.739498801302042,-5.825445696350243,2.0859468950482007,-2.0859468950482007,-8.065387044207219,-4.990565826195584,-3.0748212180116345,-8.122518234249133,-6.694002254393027,-1.4285159798561065
9,1999_11_DAL_ARI,ARI,DAL,1999,10.0,4.0,-4.0,-4.696095861191686,-7.9958744852219805,3.299778624030295,-3.299778624030295,-17.490238409258808,-7.505884207987858,-9.98435420127095,-8.099312694602897,-1.492811945718326,-6.606500748884571
10,1999_12_ARI_NYG,ARI,NYG,1999,11.0,10.0,-10.0,4.6734035182052835,-10.040414873940808,14.713818392146091,-14.713818392146091,3.9302759666603504,2.1622347219078124,1.768041244752538,6.544650639842978,6.694635484521758,-0.14998484467878015
11,1999_13_PHI_ARI,ARI,PHI,1999,12.0,4.0,-4.0,-5.855464280343785,-8.888543404702444,3.0330791243586592,-3.0330791243586592,6.923274004108837,-9.549069239367086,16.472343243475922,-19.564162889480766,-12.572428196684875,-6.991734692795891
12,1999_14_ARI_WAS,ARI,WAS,1999,13.0,-25.0,25.0,-16.447533267200924,7.390271616215591,-23.837804883416517,23.837804883416517,-24.641786361697225,0.019946040782724307,-24.66173240247995,-11.145885490899511,-9.753501641675845,-1.3923838492236662
13,1999_15_BUF_ARI,ARI,BUF,1999,14.0,-10.0,10.0,4.0525301428051375,17.11025509330282,-13.057724950497681,13.057724950497681,11.98479677052381,7.320744079546054,4.664052690977756,4.810346059795379,-1.6360889675711336,6.446435027366513
14,1999_16_ARI_ATL,ARI,ATL,1999,15.0,-23.0,23.0,-2.1704590268952875,21.483936817060112,-23.6543958439554,23.6543958439554,-15.721078414801498,8.399669685424639,-24.120748100226137,10.793335740209649,-2.5677700563718493,13.361105796581498
15,1999_17_ARI_GB,ARI,GB,1999,16.0,-25.0,25.0,8.48316015053477,28.011592892488764,-19.528432741953992,19.528432741953992,31.237991432832455,21.280203284210565,9.95778814862189,50.75997897553925,9.326266356544851,41.4337126189944
16,2000_01_ARI_NYG,ARI,NYG,2000,1.0,-5.0,5.0,1.2168847349213339,7.436298824416538,-6.219414089495204,6.219414089495204,-1.610392941495894,1.2989120227738393,-2.909304964269733,-0.4351843290245726,-1.4049883768124058,0.9698040477878332
17,2000_02_DAL_ARI,ARI,DAL,2000,2.0,1.0,-1.0,7.139652075007681,12.381417269749344,-5.241765194741663,5.241765194741663,10.108490520248232,12.493873107468119,-2.385382587219887,18.74367721052432,3.083557336835268,15.660119873689053
18,2000_04_GB_ARI,ARI,GB,2000,3.0,-26.0,26.0,-12.333017880446278,18.826284572156496,-31.159302452602773,31.159302452602773,-24.733732928872485,16.33077051852063,-41.064503447393115,17.778069444693145,-19.526678864878143,37.30474830957129
19,2000_05_ARI_SF,ARI,SF,2000,4.0,-7.0,7.0,-1.2586355200092036,3.802680495434272,-5.0613160154434755,5.0613160154434755,4.044702106915078,-0.7994626783819515,4.844164785297029,2.279834142705598,-3.832313963288218,6.112148105993816
20,2000_06_CLE_ARI,ARI,CLE,2000,5.0,8.0,-8.0,12.975574305726798,4.920207610010932,8.055366695715866,-8.055366695715866,11.330216095905582,-1.5633945666726494,12.893610662578231,-7.0219387180123185,7.273639106001722,-14.29557782401404
